statement_id,split,politician,party,side,date,statement,subject,civility,rigor,specificity,focus
b13b1eb7dce5eb9a,dev,Simon Watts,National,government,2024-03-26,You don’t have to travel too far to get feedback from a number of experts within the tax field that acknowledge that a 10-year brightline versus a two-year derives significantly more compliance costs.,,,,,
396b4a896ba79248,dev,Christopher Luxon,National,government,2024-04-30,"Well, there are no projects that have been approved. Debbie Ngarewa-Packer : What actions will the Prime Minister take to ensure that his Cabinet Ministers will adhere to the Cabinet Manual around the conflict of interests, if given, for the Fast-track Approvals Bill?",,,,,
9fd2954b72b2c60a,dev,Carl Bates,National,government,2024-05-28,"They are highly likely to be malnourished, highly likely to have significant mental health challenges or social challenges from that crossing, and upon arrival on our shores they will need those challenges supported—before we even start talking about the legal process that they’ll be going through.",,,,,
eb902dfe0783ad1c,dev,Simeon Brown,National,government,2024-09-18,"Thank you, Madam Chair. I want to acknowledge the member, who’s the chair of the Transport and Infrastructure Committee.",,,,,
ed9ed18ff83dc1f1,dev,Mark Patterson,NZ First,government,2024-10-23,"What we’re seeing now is the practices have got so much better that we’re getting 95 percent, 97 percent that are compliant in terms of good management practice.",,,,,
effa3e805841344c,dev,Carl Bates,National,government,2025-01-30,"Tēnā koutou, tēnā koutou, tēnā koutou katoa. Ko Ruapehu te maunga, ko Whanganui te awa. Nō Whanganui ahau. Ko Carl Bates taku ingoa.",,,,,
d7060b92c28f2f43,dev,Todd Stephenson,ACT,government,2025-03-05,"Now, this council requires Chinese medicine practitioners to honour the Treaty as tangata whenua, challenge the biases of their colleagues, and enact the principles of the Treaty and involve bicultural principles.",,,,,
01a5375d6ad9ea3e,dev,Erica Stanford,National,government,2025-06-24,"I recently visited Hot Lime Labs, a clean tech business in the mighty Lower Hutt, a New Zealand business that uses world-leading technology to produce clean and sustainable carbon dioxide for greenhouses from waste wood, using world-leading, patented technology.",,,,,
89c6e93f9f6886cc,dev,Chris Bishop,National,government,2025-08-12,"If people think things are bad now, God only knows what it would have been under Grant Robertson’s profligate reign of fiscal terror.",,,,,
71194dd08b201213,dev,Louise Upston,National,government,2025-12-17,"I'd really encourage and invite disabled people, their whānau and community, as well as seniors who access the Total Mobility scheme to have their say on the consultation document put out by the Ministry of Transport because this is also an opportunity to strengthen the scheme, to make it more flexible, and to allow those who use the system to have more choice and control.",,,,,
3aab773df0933801,dev,Casey Costello,NZ First,government,2026-01-27,"Furthermore, kaupapa Māori providers who have survived severe funding cuts, just like Te Whare Hīnātore at the Auckland City Mission, are forced to reject whānau with nowhere else to go.",,,,,
e1f4d0706967324a,dev,James Meager,National,government,2026-02-17,"I gave a couple of examples of where a priority might shift over time and you might have to shift the composition of the group, but underlining all this, of course, are those longstanding requirements of the public sector, including of the chief executive of the DPMC to abide by all of the rules around appointments under the Public Service Act.",,,,,
208b4449ee94610f,dev,Nicola Willis,National,government,2026-03-03,"As I said before, Governments aim for positive, low, stable inflation, and it is tragic when they fail to achieve that because big price increases do get baked in, as they did under the previous Government.",,,,,
2ed87bee88e6a460,dev,Rawiri Waititi,Te Pāti Māori,opposition,2023-12-12,"As a new member of the Finance and Expenditure Committee, I would have welcomed the opportunity to hear from the Reserve Bank and the other monetary policy experts on the implications of this bill.",,,,,
ed19c5770f917e73,dev,Grant Robertson,Labour,opposition,2024-01-31,"If that is the case—and it does appear to be so—then that is why this is a very, very sad bill. So that’s my quite simple question for the Minister.",,,,,
1a354118c5eefe4d,dev,Debbie Ngarewa-Packer,Te Pāti Māori,opposition,2024-02-13,"So, with respect to our Chair, we were hoping to ask questions. We weren’t repetitive; we weren’t heard at all. Kia ora.",,,,,
ae1a52c73836a3ab,dev,Barbara Edmonds,Labour,opposition,2024-03-26,"So my question to the Minister is just to make really clear, for a casino operator that has a physical presence in New Zealand—and we have a couple of them—if they have an offshore gaming website, how do these new rules apply to them?",,,,,
4bbdec7175d577da,dev,Willie Jackson,Labour,opposition,2024-05-08,"I know some of the Opposition may think it’s a little bit treacherous, but they should know all about that, given the Prime Minister, when he was the Leader of the Opposition, slammed the Government when he was over in England.",,,,,
a21d4fe9b5782de9,dev,Glen Bennett,Labour,opposition,2024-07-23,"That is my hope and challenge to the Minister, but also to lay out the plan, tell us how we’re going to spend money to double exports in 10 years.",,,,,
ba5300fd9d8f14df,dev,Ginny Andersen,Labour,opposition,2024-08-28,"Thank you very much, Madam Chair. I’d just like to continue the discussion on new section 18AA, which is to be inserted in the Search and Surveillance Act by clause 14, which is the warrantless searches associated with firearms prohibition orders (FPOs).",,,,,
f52625d618e97c06,dev,Jan Tinetti,Labour,opposition,2024-09-12,"That is shocking. That is shocking, that this is the tone that educators take on how they are going to approach education in Aotearoa and how they are going to educate our future generations.",,,,,
072c31f7ff156b27,dev,Chris Hipkins,Labour,opposition,2024-11-12,"Many people entering into State and faith-based institutions were undocumented, records were incomplete, they’ve gone missing, and in some cases, yes, they were deliberately destroyed.",,,,,
d7a323a2f006a7bd,dev,Damien O'Connor,Labour,opposition,2024-12-10,"I think that has allowed us to expand farming operations, but there are consequences in some areas. As I’ve said before, this is a unique geological area where the nitrates, if not managed properly, will remain in that aquifer, affecting the local community’s ability to get good, fresh water.",,,,,
e4f1ff9f842c87b1,dev,Marama Davidson,Green,opposition,2025-03-05,"The contractor was providing local employment and using local food.”; if so, can he tell the House how many people have lost their jobs as a result of his Government’s changes to Ka Ora, Ka Ako?",,,,,
612949eeee905666,dev,Camilla Belich,Labour,opposition,2025-06-24,"I don’t think so. I think we’ve heard a lot of evidence today from this side of the House, who have been taking substantive calls on this bill, around things that have got a lot worse and have raised the cost generally for households as well.",,,,,
40fa71b2945a8ebb,dev,Camilla Belich,Labour,opposition,2025-07-15,"Unfortunately, the good work started under the previous Government in order to regulate and make a reasonable environment where there are a few operators able to be regulated and also provide a significant amount of time and resources to address gambling harm—on the contrary, this bill that we now have before us looks to allow 15 different operators licences within New Zealand.",,,,,
601ae68fdb340918,dev,Kahurangi Carter,Green,opposition,2025-09-16,"Every step in this direction is a win for our communities, for our councils, and for Papatūānuku. This bill also makes GST rules fairer for repaired and replaced goods.",,,,,
2e8c2b6e4f16487f,dev,Rachel Brooking,Labour,opposition,2025-12-16,"Now, I would say that this is unnecessary and oversimplifies an idea that development does not impact the environment and that you can neatly put the environment to one side.",,,,,
b51b2444d71027a3,dev,Julie Anne Genter,Green,opposition,2026-03-11,"It makes sense for New Zealand to invest in distributed renewable electricity generation like home solar. Pair that with energy-efficient machines like electric vehicles, which can also be used as batteries, like hot water heat pumps—all of those things reduce costs for households and reduce our carbon emissions, so why wouldn’t we do them?",,,,,
bdaf4288010de7ea,dev,Reuben Davidson,Labour,opposition,2026-04-28,"The FMA have a particular set of expertise in here, which never needed to defined in an anti - money-laundering bill because their remit was clear: for the health and oversight of a strong and enduring financial system that was not unnecessarily exposed to risk either from money-laundering or other financial risks that occur because of inadequate supervision.",,,,,
4f03427aae1a61e3,dev,Tangi Utikere,Labour,opposition,2026-05-20,This bill will not simply mean that port companies have to provide all the information under the sun. The limitations around access to information would still exist—that’s contained within the principal Act here.,,,,,
5723902cd290b22b,dev,Simeon Brown,National,government,2023-12-12,"I acknowledge all of the coalition partners in their support and I thank them for their support so far in the passage through this House and their continued support as we progress this legislation through the House, and I commend it to the House.",,,,,
45534271b806ccc2,dev,Casey Costello,NZ First,government,2024-01-31,"No, we don’t accept that modelling, and it was based on numbers that are not currently reflected. Hana-Rawhiti Maipi-Clarke : Given that smoking is the leading cause of premature death in Aotearoa, what is her Government’s strategy to rapidly address the inequity and accelerate smoking cessation among Māori to achieve nationwide targets?",,,,,
af4e76f61cc124bd,dev,Tim Costley,National,government,2024-02-14,"Just this week, on Monday, I was meeting with our local police, and they were telling me that 70 percent of their time is taken up—at least 70 percent—just with domestic violence and mental health now.",,,,,
460f160e9b4d2b9f,dev,Simon Watts,National,government,2024-03-19,"Similarly, Health New Zealand has taken over contact tracing from the Ministry of Health. Inland Revenue shares information with the Ministry of Health to help make more efficient processes and procedures; however, that arrangement cannot continue for the purpose of the legislation enabling such sharing of information for Health New Zealand as it was not referred to as a Government agency.",,,,,
577fce3a6ca325a4,dev,Chris Bishop,National,government,2024-05-02,"Sorry, can the member repeat that question? I couldn’t hear the start of it. Dr Lawrence Xu-Nan : Certainly. Has cultural competency been removed from professional development priorities for teachers, and, if so, why?",,,,,
63e1ee9ffbbe6e14,dev,Tom Rutherford,National,government,2024-07-23,New Zealand National 49; ACT New Zealand 11; New Zealand First 8. New Zealand Labour 34; Green Party of Aotearoa New Zealand 14; Te Pāti Māori 6; Tana.,,,,,
1c95f96c146532de,dev,Stuart Smith,National,government,2024-08-21,"Well, I don’t know if he’s aware, but it went through a select committee process. Madam Speaker, as I’m sure you are aware, the select committee process is the major part of our legislative process.",,,,,
